ext	type
.p7s	application/pkcs7-signature
.p8	application/pkcs8
.ac	application/pkix-attr-cert
.cer	application/pkix-cert
.crl	application/pkix-crl
.pkipath	application/pkix-pkipath
.pki	application/pkixcmp
.pls	application/pls+xml
.ai	application/postscript
.provx	application/provenance+xml
.cww	application/prs.cww
.xsf	application/prs.xsf+xml
.pskcxml	application/pskc+xml
.rdf	application/rdf+xml
.rif	application/reginfo+xml
.rnc	application/relax-ng-compact-syntax
.rl	application/resource-lists+xml
.rld	application/resource-lists-diff+xml
.rs	application/rls-services+xml
.rapd	application/route-apd+xml
.sls	application/route-s-tsid+xml
.rusd	application/route-usd+xml
.gbr	application/rpki-ghostbusters
.mft	application/rpki-manifest
.roa	application/rpki-roa
.rtf	application/rtf
.sbml	application/sbml+xml
.scq	application/scvp-cv-request
.scs	application/scvp-cv-response
.spq	application/scvp-vp-request
.spp	application/scvp-vp-response
.sdp	application/sdp
.senmlx	application/senml+xml
.sensmlx	application/sensml+xml
.setpay	application/set-payment-initiation
.setreg	application/set-registration-initiation
.shf	application/shf+xml
.siv	application/sieve
.smi	application/smil+xml
.rq	application/sparql-query
.srx	application/sparql-results+xml
.sql	application/sql
.gram	application/srgs
.grxml	application/srgs+xml
.sru	application/sru+xml
.ssml	application/ssml+xml
.swidtag	application/swid+xml
.tei	application/tei+xml
.tfi	application/thraud+xml
.tsd	application/timestamped-data
.toml	application/toml
.trig	application/trig
.ttml	application/ttml+xml
.rsheet	application/urc-ressheet+xml
.td	application/urc-targetdesc+xml
.vec	application/vec+xml
.1km	application/vnd.1000minds.decision-model+xml
.plb	application/vnd.3gpp.pic-bw-large
.psb	application/vnd.3gpp.pic-bw-small
.pvb	application/vnd.3gpp.pic-bw-var
.tcap	application/vnd.3gpp2.tcap
.pwn	application/vnd.3m.post-it-notes
.aso	application/vnd.accpac.simply.aso
.imp	application/vnd.accpac.simply.imp
.acu	application/vnd.acucobol
.atc	application/vnd.acucorp
.fcdt	application/vnd.adobe.formscentral.fcdt
.fxp	application/vnd.adobe.fxp
.xdp	application/vnd.adobe.xdp+xml
.age	application/vnd.age
.ahead	application/vnd.ahead.space
.azf	application/vnd.airzip.filesecure.azf
.azs	application/vnd.airzip.filesecure.azs
.acc	application/vnd.americandynamics.acc
.ami	application/vnd.amiga.ami
.cii	application/vnd.anser-web-certificate-issue-initiation
.atx	application/vnd.antix.game-component
.parquet	application/vnd.apache.parquet
.mpkg	application/vnd.apple.installer+xml
.key	application/vnd.apple.keynote
.m3u8	application/vnd.apple.mpegurl
.numbers	application/vnd.apple.numbers
.pages	application/vnd.apple.pages
.swi	application/vnd.aristanetworks.swi
.iota	application/vnd.astraea-software.iota
.aep	application/vnd.audiograph
.bmml	application/vnd.balsamiq.bmml+xml
.mpm	application/vnd.blueice.multipass
.bmi	application/vnd.bmi
.rep	application/vnd.businessobjects
.cdxml	application/vnd.chemdraw+xml
.mmd	application/vnd.chipnuts.karaoke-mmd
.cdy	application/vnd.cinderella
.csl	application/vnd.citationstyles.style+xml
.cla	application/vnd.claymore
.rp9	application/vnd.cloanto.rp9
.c4g	application/vnd.clonk.c4group
.c11amc	application/vnd.cluetrust.cartomobile-config
.c11amz	application/vnd.cluetrust.cartomobile-config-pkg
.csp	application/vnd.commonspace
.cdbcmsg	application/vnd.contact.cmsg
.cmc	application/vnd.cosmocaller
.clkx	application/vnd.crick.clicker
.clkk	application/vnd.crick.clicker.keyboard
.clkp	application/vnd.crick.clicker.palette
.clkt	application/vnd.crick.clicker.template
.clkw	application/vnd.crick.clicker.wordbank
.wbs	application/vnd.criticaltools.wbs+xml
.pml	application/vnd.ctc-posml
.ppd	application/vnd.cups-ppd
.dart	application/vnd.dart
.rdz	application/vnd.data-vision.rdz
.dbf	application/vnd.dbf
.dcmp	application/vnd.dcmp+xml
.uvf	application/vnd.dece.data
.uvt	application/vnd.dece.ttml+xml
.uvx	application/vnd.dece.unspecified
.uvz	application/vnd.dece.zip
.fe_launch	application/vnd.denovo.fcselayout-link
.dna	application/vnd.dna
.dpg	application/vnd.dpgraph
.dfac	application/vnd.dreamfactory
.ait	application/vnd.dvb.ait
.svc	application/vnd.dvb.service
.geo	application/vnd.dynageo
.mag	application/vnd.ecowin.chart
.nml	application/vnd.enliven
.esf	application/vnd.epson.esf
.msf	application/vnd.epson.msf
.qam	application/vnd.epson.quickanime
.slt	application/vnd.epson.salt
.ssf	application/vnd.epson.ssf
.es3	application/vnd.eszigno3+xml
.ez2	application/vnd.ezpix-album
.ez3	application/vnd.ezpix-package
.mseed	application/vnd.fdsn.mseed
.seed	application/vnd.fdsn.seed
.gph	application/vnd.flographit
.ftc	application/vnd.fluxtime.clip
.fm	application/vnd.framemaker
.fsc	application/vnd.fsc.weblaunch
.oas	application/vnd.fujitsu.oasys
.oa2	application/vnd.fujitsu.oasys2
.oa3	application/vnd.fujitsu.oasys3
.fg5	application/vnd.fujitsu.oasysgp
.bh2	application/vnd.fujitsu.oasysprs
.ddd	application/vnd.fujixerox.ddd
.xdw	application/vnd.fujixerox.docuworks
.xbd	application/vnd.fujixerox.docuworks.binder
.fzs	application/vnd.fuzzysheet
.txd	application/vnd.genomatix.tuxedo
.ggb	application/vnd.geogebra.file
.ggs	application/vnd.geogebra.slides
.ggt	application/vnd.geogebra.tool
.gex	application/vnd.geometry-explorer
.gxt	application/vnd.geonext
.g2w	application/vnd.geoplan
.g3w	application/vnd.geospace
.gmx	application/vnd.gmx
.kml	application/vnd.google-earth.kml+xml
.kmz	application/vnd.google-earth.kmz
.xdcf	application/vnd.gov.sk.xmldatacontainer+xml
.gqf	application/vnd.grafeq
.gac	application/vnd.groove-account
.ghf	application/vnd.groove-help
.gim	application/vnd.groove-identity-message
.grv	application/vnd.groove-injector
.gtm	application/vnd.groove-tool-message
.tpl	application/vnd.groove-tool-template
.vcg	application/vnd.groove-vcard
.hal	application/vnd.hal+xml
.zmm	application/vnd.handheld-entertainment+xml
.hbci	application/vnd.hbci
.les	application/vnd.hhe.lesson-player
.hpgl	application/vnd.hp-hpgl
.hpid	application/vnd.hp-hpid
.hps	application/vnd.hp-hps
.jlt	application/vnd.hp-jlyt
.pcl	application/vnd.hp-pcl
.pclxl	application/vnd.hp-pclxl
.sfd-hdstx	application/vnd.hydrostatix.sof-data
.mpy	application/vnd.ibm.minipay
.irm	application/vnd.ibm.rights-management
.sc	application/vnd.ibm.secure-container
.icc	application/vnd.iccprofile
.igl	application/vnd.igloader
.ivp	application/vnd.immervision-ivp
.ivu	application/vnd.immervision-ivu
.igm	application/vnd.insors.igm
.xpw	application/vnd.intercon.formnet
.i2g	application/vnd.intergeo
.qbo	application/vnd.intu.qbo
.qfx	application/vnd.intu.qfx
.rcprofile	application/vnd.ipunplugged.rcprofile
.irp	application/vnd.irepository.package+xml
.xpr	application/vnd.is-xpr
.fcs	application/vnd.isac.fcs
.jam	application/vnd.jam
.rms	application/vnd.jcp.javame.midlet-rms
.jisp	application/vnd.jisp
.joda	application/vnd.joost.joda-archive
.ktz	application/vnd.kahootz
.karbon	application/vnd.kde.karbon
.chrt	application/vnd.kde.kchart
.kfo	application/vnd.kde.kformula
.flw	application/vnd.kde.kivio
.kon	application/vnd.kde.kontour
.kpr	application/vnd.kde.kpresenter
.ksp	application/vnd.kde.kspread
.kwd	application/vnd.kde.kword
.htke	application/vnd.kenameaapp
.kia	application/vnd.kidspiration
.kne	application/vnd.kinar
.skp	application/vnd.koan
.sse	application/vnd.kodak-descriptor
.lasxml	application/vnd.las.las+xml
.lbd	application/vnd.llamagraphics.life-balance.desktop
.lbe	application/vnd.llamagraphics.life-balance.exchange+xml
.123	application/vnd.lotus-1-2-3
.apr	application/vnd.lotus-approach
.pre	application/vnd.lotus-freelance
.nsf	application/vnd.lotus-notes
.org	application/vnd.lotus-organizer
.scm	application/vnd.lotus-screencam
.lwp	application/vnd.lotus-wordpro
.portpkg	application/vnd.macports.portpkg
.mvt	application/vnd.mapbox-vector-tile
.mcd	application/vnd.mcd
.mc1	application/vnd.medcalcdata
.cdkey	application/vnd.mediastation.cdkey
.mwf	application/vnd.mfer
.mfm	application/vnd.mfmp
.flo	application/vnd.micrografx.flo
.igx	application/vnd.micrografx.igx
.mif	application/vnd.mif
.daf	application/vnd.mobius.daf
.dis	application/vnd.mobius.dis
.mbk	application/vnd.mobius.mbk
.mqy	application/vnd.mobius.mqy
.msl	application/vnd.mobius.msl
.plc	application/vnd.mobius.plc
.txf	application/vnd.mobius.txf
.mpn	application/vnd.mophun.application
.mpc	application/vnd.mophun.certificate
.xul	application/vnd.mozilla.xul+xml
.cil	application/vnd.ms-artgalry
.cab	application/vnd.ms-cab-compressed
.xls	application/vnd.ms-excel
.xlam	application/vnd.ms-excel.addin.macroenabled.12
.xlsb	application/vnd.ms-excel.sheet.binary.macroenabled.12
.xlsm	application/vnd.ms-excel.sheet.macroenabled.12
.xltm	application/vnd.ms-excel.template.macroenabled.12
.eot	application/vnd.ms-fontobject
.chm	application/vnd.ms-htmlhelp
.ims	application/vnd.ms-ims
.lrm	application/vnd.ms-lrm
.thmx	application/vnd.ms-officetheme
.ppt	application/vnd.ms-powerpoint
.ppam	application/vnd.ms-powerpoint.addin.macroenabled.12
.pptm	application/vnd.ms-powerpoint.presentation.macroenabled.12
.sldm	application/vnd.ms-powerpoint.slide.macroenabled.12
.ppsm	application/vnd.ms-powerpoint.slideshow.macroenabled.12
.potm	application/vnd.ms-powerpoint.template.macroenabled.12
.mpp	application/vnd.ms-project
.docm	application/vnd.ms-word.document.macroenabled.12
.dotm	application/vnd.ms-word.template.macroenabled.12
.wps	application/vnd.ms-works
.wpl	application/vnd.ms-wpl
.xps	application/vnd.ms-xpsdocument
.mseq	application/vnd.mseq
.mus	application/vnd.musician
.msty	application/vnd.muvee.style
.taglet	application/vnd.mynfc
.bdo	application/vnd.nato.bindingdataobject+xml
.nlu	application/vnd.neurolanguage.nlu
.ntf	application/vnd.nitf
.nnd	application/vnd.noblenet-directory
.nns	application/vnd.noblenet-sealer
.nnw	application/vnd.noblenet-web
.ac	application/vnd.nokia.n-gage.ac+xml
.ngdat	application/vnd.nokia.n-gage.data
.rpst	application/vnd.nokia.radio-preset
.rpss	application/vnd.nokia.radio-presets
.edm	application/vnd.novadigm.edm
.edx	application/vnd.novadigm.edx
.ext	application/vnd.novadigm.ext
.odc	application/vnd.oasis.opendocument.chart
.otc	application/vnd.oasis.opendocument.chart-template
.odf	application/vnd.oasis.opendocument.formula
.odft	application/vnd.oasis.opendocument.formula-template
.odg	application/vnd.oasis.opendocument.graphics
.otg	application/vnd.oasis.opendocument.graphics-template
.odi	application/vnd.oasis.opendocument.image
.oti	application/vnd.oasis.opendocument.image-template
.odp	application/vnd.oasis.opendocument.presentation
.otp	application/vnd.oasis.opendocument.presentation-template
.ods	application/vnd.oasis.opendocument.spreadsheet
.ots	application/vnd.oasis.opendocument.spreadsheet-template
.odt	application/vnd.oasis.opendocument.text
.odm	application/vnd.oasis.opendocument.text-master
.ott	application/vnd.oasis.opendocument.text-template
.oth	application/vnd.oasis.opendocument.text-web
.xo	application/vnd.olpc-sugar
.dd2	application/vnd.oma.dd2+xml
.obgx	application/vnd.openblox.game+xml
.osm	application/vnd.openstreetmap.data+xml
.pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
.sldx	application/vnd.openxmlformats-officedocument.presentationml.slide
.ppsx	application/vnd.openxmlformats-officedocument.presentationml.slideshow
.potx	application/vnd.openxmlformats-officedocument.presentationml.template
.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
.xltx	application/vnd.openxmlformats-officedocument.spreadsheetml.template
.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dotx	application/vnd.openxmlformats-officedocument.wordprocessingml.template
.mgp	application/vnd.osgeo.mapguide.package
.dp	application/vnd.osgi.dp
.esa	application/vnd.osgi.subsystem
.pdb	application/vnd.palm
.paw	application/vnd.pawaafile
.str	application/vnd.pg.format
.ei6	application/vnd.pg.osasli
.efif	application/vnd.picsel
.wg	application/vnd.pmi.widget
.plf	application/vnd.pocketlearn
.pbd	application/vnd.powerbuilder6
.systemverify	application/vnd.pp.systemverify+xml
.box	application/vnd.previewsystems.box
.mgz	application/vnd.proteus.magazine
.qps	application/vnd.publishare-delta-tree
.ptid	application/vnd.pvi.ptid1
.xhtm	application/vnd.pwg-xhtml-print+xml
.qxd	application/vnd.quark.quarkxpress
.rar	application/vnd.rar
.bed	application/vnd.realvnc.bed
.mxl	application/vnd.recordare.musicxml
.musicxml	application/vnd.recordare.musicxml+xml
.cryptonote	application/vnd.rig.cryptonote
.link66	application/vnd.route66.link66+xml
.st	application/vnd.sailingtracker.track
.see	application/vnd.seemail
.sema	application/vnd.sema
.semd	application/vnd.semd
.semf	application/vnd.semf
.ifm	application/vnd.shana.informed.formdata
.itp	application/vnd.shana.informed.formtemplate
.iif	application/vnd.shana.informed.interchange
.ipk	application/vnd.shana.informed.package
.twd	application/vnd.simtech-mindmapper
.mmf	application/vnd.smaf
.teacher	application/vnd.smart.teacher
.fo	application/vnd.software602.filler.form+xml
.sdkm	application/vnd.solent.sdkm+xml
.dxp	application/vnd.spotfire.dxp
.sfs	application/vnd.spotfire.sfs
.sqlite	application/vnd.sqlite3
.smzip	application/vnd.stepmania.package
.sm	application/vnd.stepmania.stepchart
.wadl	application/vnd.sun.wadl+xml
.sus	application/vnd.sus-calendar
.svd	application/vnd.svd
.xsm	application/vnd.syncml+xml
.bdm	application/vnd.syncml.dm+wbxml
.xdm	application/vnd.syncml.dm+xml
.ddf	application/vnd.syncml.dmddf+xml
.tao	application/vnd.tao.intent-module-archive
.pcap	application/vnd.tcpdump.pcap
.tmo	application/vnd.tmobile-livetv
.tpt	application/vnd.trid.tpt
.mxs	application/vnd.triscape.mxs
.tra	application/vnd.trueapp
.ufd	application/vnd.ufdl
.utz	application/vnd.uiq.theme
.umj	application/vnd.umajin
.unityweb	application/vnd.unity
.uoml	application/vnd.uoml+xml
.vcx	application/vnd.vcx
.vsd	application/vnd.visio
.vis	application/vnd.visionary
.vsf	application/vnd.vsf
.wbxml	application/vnd.wap.wbxml
.wmlc	application/vnd.wap.wmlc
.wmlsc	application/vnd.wap.wmlscriptc
.wtb	application/vnd.webturbo
.nbp	application/vnd.wolfram.player
.wpd	application/vnd.wordperfect
.wqd	application/vnd.wqd
.stf	application/vnd.wt.stf
.xar	application/vnd.xara
.xfdl	application/vnd.xfdl
.hvd	application/vnd.yamaha.hv-dic
.hvs	application/vnd.yamaha.hv-script
.hvp	application/vnd.yamaha.hv-voice
.osf	application/vnd.yamaha.openscoreformat
.osfpvg	application/vnd.yamaha.openscoreformat.osfpvg+xml
.saf	application/vnd.yamaha.smaf-audio
.spf	application/vnd.yamaha.smaf-phrase
.cmp	application/vnd.yellowriver-custom-menu
.zir	application/vnd.zul
.zaz	application/vnd.zzazz.deck+xml
.vxml	application/voicexml+xml
.wasm	application/wasm
.wif	application/watcherinfo+xml
.wgt	application/widget
.wsdl	application/wsdl+xml
.wspolicy	application/wspolicy+xml
.der	application/x-x509-ca-cert
.xav	application/xcap-att+xml
.xca	application/xcap-caps+xml
.xdf	application/xcap-diff+xml
.xel	application/xcap-el+xml
.xns	application/xcap-ns+xml
.xenc	application/xenc+xml
.xfdf	application/xfdf
.xhtml	application/xhtml+xml
.xlf	application/xliff+xml
.xml	application/xml
.dtd	application/xml-dtd
.xop	application/xop+xml
.xsl	application/xslt+xml
.mxml	application/xv+xml
.yang	application/yang
.yin	application/yin+xml
.zip	application/zip
.3gpp	audio/3gpp
.adts	audio/aac
.amr	audio/amr
.au	audio/basic
.mka	audio/matroska
.mxmf	audio/mobile-xmf
.m4a	audio/mp4
.mpga	audio/mpeg
.oga	audio/ogg
.uva	audio/vnd.dece.audio
.eol	audio/vnd.digital-winds
.dra	audio/vnd.dra
.dts	audio/vnd.dts
.dtshd	audio/vnd.dts.hd
.lvp	audio/vnd.lucent.voice
.pya	audio/vnd.ms-playready.media.pya
.ecelp4800	audio/vnd.nuera.ecelp4800
.ecelp7470	audio/vnd.nuera.ecelp7470
.ecelp9600	audio/vnd.nuera.ecelp9600
.rip	audio/vnd.rip
.ttc	font/collection
.otf	font/otf
.ttf	font/ttf
.woff	font/woff
.woff2	font/woff2
.exr	image/aces
.apng	image/apng
.avci	image/avci
.avcs	image/avcs
.avif	image/avif
.bmp	image/bmp
.cgm	image/cgm
.drle	image/dicom-rle
.dpx	image/dpx
.emf	image/emf
.fits	image/fits
.g3	image/g3fax
.gif	image/gif
.heic	image/heic
.heics	image/heic-sequence
.heif	image/heif
.heifs	image/heif-sequence
.hej2	image/hej2k
.ief	image/ief
.jaii	image/jaii
.jais	image/jais
.jls	image/jls
.jp2	image/jp2
.jpg	image/jpeg
.jph	image/jph
.jhc	image/jphc
.jpm	image/jpm
.jpx	image/jpx
.jxl	image/jxl
.jxr	image/jxr
.jxra	image/jxra
.jxrs	image/jxrs
.jxs	image/jxs
.jxsc	image/jxsc
.jxsi	image/jxsi
.jxss	image/jxss
.ktx	image/ktx
.ktx2	image/ktx2
.png	image/png
.btif	image/prs.btif
.pti	image/prs.pti
.svg	image/svg+xml
.t38	image/t38
.tif	image/tiff
.tfx	image/tiff-fx
.psd	image/vnd.adobe.photoshop
.azv	image/vnd.airzip.accelerator.azv
.facti	image/vnd.blockfact.facti
.uvi	image/vnd.dece.graphic
.djvu	image/vnd.djvu
.sub	image/vnd.dvb.subtitle
.dwg	image/vnd.dwg
.dxf	image/vnd.dxf
.fbs	image/vnd.fastbidsheet
.fpx	image/vnd.fpx
.fst	image/vnd.fst
.mmr	image/vnd.fujixerox.edmics-mmr
.rlc	image/vnd.fujixerox.edmics-rlc
.ico	image/vnd.microsoft.icon
.mdi	image/vnd.ms-modi
.npx	image/vnd.net-fpx
.b16	image/vnd.pco.b16
.tap	image/vnd.tencent.tap
.vtf	image/vnd.valve.source.texture
.wbmp	image/vnd.wap.wbmp
.xif	image/vnd.xiff
.pcx	image/vnd.zbrush.pcx
.webp	image/webp
.wmf	image/wmf
.disposition-notification	message/disposition-notification
.u8msg	message/global
.u8dsn	message/global-delivery-status
.u8mdn	message/global-disposition-notification
.u8hdr	message/global-headers
.eml	message/rfc822
.wsc	message/vnd.wfa.wsc
.3mf	model/3mf
.gltf	model/gltf+json
.glb	model/gltf-binary
.igs	model/iges
.jt	model/jt
.msh	model/mesh
.mtl	model/mtl
.obj	model/obj
.prc	model/prc
.step	model/step
.stpx	model/step+xml
.stpz	model/step+zip
.stpxz	model/step-xml+zip
.stl	model/stl
.u3d	model/u3d
.bary	model/vnd.bary
.cld	model/vnd.cld
.dae	model/vnd.collada+xml
.dwf	model/vnd.dwf
.gdl	model/vnd.gdl
.gtw	model/vnd.gtw
.mts	model/vnd.mts
.ogex	model/vnd.opengex
.x_b	model/vnd.parasolid.transmit.binary
.x_t	model/vnd.parasolid.transmit.text
.pyo	model/vnd.pytha.pyox
.vds	model/vnd.sap.vds
.usda	model/vnd.usda
.usdz	model/vnd.usdz+zip
.bsp	model/vnd.valve.source.compiled-map
.vtu	model/vnd.vtu
.wrl	model/vrml
.x3db	model/x3d+fastinfoset
.x3d	model/x3d+xml
.x3dv	model/x3d-vrml
.appcache	text/cache-manifest
.ics	text/calendar
.css	text/css
.csv	text/csv
.html	text/html
.js	text/javascript
.md	text/markdown
.n3	text/n3
.txt	text/plain
.dsc	text/prs.lines.tag
.rtx	text/richtext
.rtf	text/rtf
.sgml	text/sgml
.shex	text/shex
.spdx	text/spdx
.tsv	text/tab-separated-values
.t	text/troff
.ttl	text/turtle
.uri	text/uri-list
.vcard	text/vcard
.curl	text/vnd.curl
.sub	text/vnd.dvb.subtitle
.ged	text/vnd.familysearch.gedcom
.fly	text/vnd.fly
.flx	text/vnd.fmi.flexstor
.gv	text/vnd.graphviz
.3dml	text/vnd.in3d.3dml
.spot	text/vnd.in3d.spot
.jad	text/vnd.sun.j2me.app-descriptor
.wml	text/vnd.wap.wml
.wmls	text/vnd.wap.wmlscript
.vtt	text/vtt
.wgsl	text/wgsl
.xml	text/xml
.3gp	video/3gpp
.3g2	video/3gpp2
.h261	video/h261
.h263	video/h263
.h264	video/h264
.m4s	video/iso.segment
.jpgv	video/jpeg
.mkv	video/matroska
.mk3d	video/matroska-3d
.mj2	video/mj2
.ts	video/mp2t
.mp4	video/mp4
.mpeg	video/mpeg
.ogv	video/ogg
.qt	video/quicktime
.uvh	video/vnd.dece.hd
.uvm	video/vnd.dece.mobile
.uvp	video/vnd.dece.pd
.uvs	video/vnd.dece.sd
.uvv	video/vnd.dece.video
.dvb	video/vnd.dvb.file
.fvt	video/vnd.fvt
.mxu	video/vnd.mpegurl
.pyv	video/vnd.ms-playready.media.pyv
.uvu	video/vnd.uvvu.mp4
.viv	video/vnd.vivo
