name	locality	segments
Skolgatan	Alsterbro	5
Stationsgatan	Alsterbro	5
Balebovägen	Alsterbro	4
Storgatan	Alstermo	24
Långgatan	Alstermo	12
Rydeforsvägen	Alstermo	10
Bubbetorpsvägen	Alstermo	8
Alstervägen	Alstermo	6
Stamvägen	Alstermo	6
Parkvägen	Alstermo	5
Aspvägen	Alstermo	4
Fågelvägen	Alstermo	4
Järnvägsgatan	Alstermo	4
Södra Altervägen	Altersbruk	46
Altersbruksvägen	Altersbruk	9
Ytterbyvägen	Altersbruk	8
Dalbackavägen	Altersbruk	6
Lakaforsvägen	Altersbruk	4
Livarvägen	Altersbruk	3
Gamla Bruksvägen	Altersbruk	2
Holmbomsvägen	Altersbruk	2
Holmträskvägen	Altersbruk	2
Holmuddsvägen	Altersbruk	2
Foghammarvägen	Alunda	18
Prästgårdsvägen	Alunda	13
Torpvägen	Alunda	11
Ekebyvägen	Alunda	8
Korsängsvägen	Alunda	7
Enbärsvägen	Alunda	6
Hantverkarvägen	Alunda	6
Marmavägen	Alunda	6
Parkvägen	Alunda	6
Solvarvet	Alunda	6
Växjövägen	Alvesta	30
Värnamovägen	Alvesta	27
Sköldstavägen	Alvesta	19
Blommagårdsvägen	Alvesta	16
Storgatan	Alvesta	15
Fabriksgatan	Alvesta	12
Lekarydsvägen	Alvesta	11
Aringsåsvägen	Alvesta	10
Lilla vägen	Alvesta	10
Lunnagårdsvägen	Alvesta	10
Kungsvägen	Alvhem	5
Stationsvägen	Alvhem	4
Alfs väg	Alvhem	3
Hajs väg	Alvhem	3
Lokvägen	Alvhem	2
Adolf Fredriks väg	Alvhem	1
Dressinvägen	Alvhem	1
Stinsvägen	Alvhem	1
Älgörtsvägen	Alvhem	1
Grysjöåsvägen	Ambjörby	12
Femtåvägen	Ambjörby	5
Björnåsvägen	Ambjörby	4
Albacksvägen	Ambjörby	3
Krusmovägen	Ambjörby	2
Blekvägen	Ambjörby	1
Nyvallsvägen	Ambjörby	1
Sunevallsvägen	Ambjörby	1
Österängsvägen	Ambjörby	1
Lingonstigen	Ambjörnarp	9
Genvägen	Ambjörnarp	6
Solbyvägen	Ambjörnarp	5
Norra Strandvägen	Ambjörnarp	3
Tranemovägen	Ambjörnarp	3
Annelundvägen	Ambjörnarp	2
Fågelvägen	Ambjörnarp	2
Gislavedsvägen	Ambjörnarp	2
Hjortronstigen	Ambjörnarp	2
Södra Strandvägen	Ambjörnarp	2
Pålsvägen	Anderslöv	11
Landsvägen	Anderslöv	10
Östergatan	Anderslöv	10
Smedjegatan	Anderslöv	9
Gabeljungsvägen	Anderslöv	8
Hällåkravägen	Anderslöv	7
Vallgatan	Anderslöv	7
Hagalundsvägen	Anderslöv	6
Nygatan	Anderslöv	6
Asbjärsvägen	Anderslöv	5
Brogatan	Anderstorp	20
Storgatan	Anderstorp	18
Ågatan	Anderstorp	15
Lindvägen	Anderstorp	13
Allégatan	Anderstorp	12
Långgatan	Anderstorp	12
Svarvaretorpsvägen	Anderstorp	11
Hantverkargatan	Anderstorp	10
Parkgatan	Anderstorp	10
Götgatan	Anderstorp	9
Konserthusgatan	Aneby	14
Österlånggatan	Aneby	13
Bredestadsvägen	Aneby	11
Järnvägsgatan	Aneby	10
Skogsgatan	Aneby	10
Västerlånggatan	Aneby	8
Industrigatan	Aneby	7
Köpmansgatan	Aneby	7
Torggatan	Aneby	7
Grännavägen	Aneby	6
Gråbovägen	Angered	71
Ljusårsvägen	Angered	22
Bergsjövägen	Angered	21
Hultavägen	Angered	21
Duvans väg	Angered	19
Äspereds skogsväg	Angered	18
Ekereds höjd	Angered	15
Stjärnbildsgatan	Angered	14
Gunnilsevägen	Angered	13
Badviksvägen	Angered	12
Kungsvägen	Ankarsrum	20
Tjustvägen	Ankarsrum	10
Trädgårdsvägen	Ankarsrum	7
Ankarströmsvägen	Ankarsrum	6
Axhultsvägen	Ankarsrum	6
Bruksvägen	Ankarsrum	6
Ekvägen	Ankarsrum	6
Ankarforsvägen	Ankarsrum	5
Måns Spånbergs väg	Ankarsrum	5
Granvägen	Ankarsrum	4
Raholmsvägen	Ankarsvik	63
Appelbergsvägen	Ankarsvik	32
Övre Raholmsvägen	Ankarsvik	16
Bänkåsvägen	Ankarsvik	13
Norrstigen	Ankarsvik	10
Fartygsvägen	Ankarsvik	8
Kustvägen	Ankarsvik	8
Kyrkbergsvägen	Ankarsvik	8
Bergsvägen	Ankarsvik	6
Linjevägen	Ankarsvik	6
Smedjegatan	Anneberg	9
Järnvägsgatan	Anneberg	5
Dalgatan	Anneberg	4
Eksjövägen	Anneberg	4
Pilabogatan	Anneberg	4
Solbergavägen	Anneberg	4
Upphemsvägen	Anneberg	4
Västra Långgatan	Anneberg	4
Alléen	Anneberg	3
Danielsgatan	Anneberg	3
Strandsjövägen	Annerstad	8
Furulundsvägen	Annerstad	7
Johans väg	Annerstad	5
Nyebrovägen	Annerstad	5
Hamnvägen	Annerstad	4
Sixtens väg	Annerstad	4
Öjarpsvägen	Annerstad	4
Lillehemsvägen	Annerstad	3
Mabäcksvägen	Annerstad	3
Nikanders väg	Annerstad	3
Boråsvägen	Aplared	20
Strandvägen	Aplared	5
Bastuvägen	Aplared	4
Huluvägen	Aplared	4
Johannas väg	Aplared	4
Grändsholmsvägen	Aplared	3
Knotthultsvägen	Aplared	3
Skansaviksvägen	Aplared	3
Skolvägen	Aplared	3
Stationsvägen	Aplared	3
Köpingsvägen	Arboga	18
Fellingsbrovägen	Arboga	16
Jädersvägen	Arboga	13
Centrumleden	Arboga	12
Herrgårdsgatan	Arboga	12
Brattbergsvägen	Arboga	11
Hamrevägen	Arboga	11
Sofiedalsgatan	Arboga	11
Västermovägen	Arboga	11
Västerleden	Arboga	10
Gamla landsvägen	Arbrå	29
Storgatan	Arbrå	19
Västergatan	Arbrå	14
Storsvedvägen	Arbrå	12
Hälsingegatan	Arbrå	11
Stationsesplanaden	Arbrå	11
Sjöstigen	Arbrå	8
Fagernäsvägen	Arbrå	7
Per-Ersgränd	Arbrå	7
Sjörgråvägen	Arbrå	7
Vikavägen	Arholma	21
Marumsvägen	Arholma	20
Rumshamnsvägen	Arholma	19
Bäckviksvägen	Arholma	17
Skatenvägen	Arholma	15
Simpnäs hamnväg	Arholma	14
Järfällastigen	Arholma	12
Utanåvägen	Arholma	12
Björkholmastigen	Arholma	11
Mulnäs	Arholma	11
Himmelstorpsvägen	Arild	16
Nabbavägen	Arild	16
Skäretvägen	Arild	14
Mattlummervägen	Arild	11
Grytvägen	Arild	8
Törnrosvägen	Arild	8
Hagavägen	Arild	7
Kalle Smes väg	Arild	7
Klötesvägen	Arild	7
Strandhagsvägen	Arild	7
Silvervägen	Arjeplog	15
Drottninggatan	Arjeplog	12
Renstigen	Arjeplog	11
Lugnetvägen	Arjeplog	9
Peljevägen	Arjeplog	9
Gruvvägen	Arjeplog	8
Sädvaluspen	Arjeplog	8
Nadokvägen	Arjeplog	7
Slagnäsvägen	Arjeplog	7
Barrgatan	Arjeplog	6
Gamla Arkelstorpsvägen	Arkelstorp	13
Mannestadsvägen	Arkelstorp	13
Ekestadsvägen	Arkelstorp	11
Helmershusvägen	Arkelstorp	11
Limugnsvägen	Arkelstorp	11
Gamla Allarpsvägen	Arkelstorp	10
Gamla byvägen	Arkelstorp	10
Hillehagsvägen	Arkelstorp	9
Flackarpsvägen	Arkelstorp	8
Lille Pers väg	Arkelstorp	8
Lundavägen	Arlöv	74
Vattenverksvägen	Arlöv	43
Klågerupsvägen	Arlöv	37
Flintrännegatan	Arlöv	32
Västkustvägen	Arlöv	32
Inre Ringvägen	Arlöv	30
Toftanäsvägen	Arlöv	25
Lommavägen	Arlöv	23
Sallerupsvägen	Arlöv	23
Gullbergagatan	Arlöv	20
Kläppgärdanvägen	Arnemark	9
Burmansvägen	Arnemark	8
Nybackavägen	Arnemark	7
Stridholmsvägen	Arnemark	7
Pålslättsvägen	Arnemark	5
Degerkullsvägen	Arnemark	4
Färjevägen	Arnemark	4
Isakstigen	Arnemark	4
Rönnbergsvägen	Arnemark	4
Ante Bergs väg	Arnemark	3
Arnäsvägen	Arnäsvall	10
Svartbyvägen	Arnäsvall	8
Härbrevägen	Arnäsvall	7
Måvägen	Arnäsvall	7
Nederövägen	Arnäsvall	6
Sockenvägen	Arnäsvall	6
Örtagårdsvägen	Arnäsvall	6
Fröstavägen	Arnäsvall	5
Pionvägen	Arnäsvall	5
Forbondevägen	Arnäsvall	4
Villavägen	Arvidsjaur	21
Västlundavägen	Arvidsjaur	20
Gamla landsvägen	Arvidsjaur	17
Järnvägsgatan	Arvidsjaur	17
Sten Laestadius väg	Arvidsjaur	16
Fjällströmsvägen	Arvidsjaur	11
Skillnadsgatan	Arvidsjaur	10
Skomakaregatan	Arvidsjaur	10
Stationsgatan	Arvidsjaur	10
Domängatan	Arvidsjaur	9
Järnvägsgatan	Arvika	22
Sävsjövägen	Arvika	19
Fallängsvägen	Arvika	17
Tranbärsvägen	Arvika	14
Kolonigatan	Arvika	13
Solviksvägen	Arvika	13
Västra Kyrkogatan	Arvika	13
Christian Erikssons väg	Arvika	12
Källgatan	Arvika	12
Östra Esplanaden	Arvika	12
Jannebergsvägen	Asarum	54
Hokavägen	Asarum	24
Horsarydsvägen	Asarum	24
Torarpsvägen	Asarum	19
Lärkvägen	Asarum	16
Iglavägen	Asarum	15
Långasjönäsvägen	Asarum	15
Tararpsvägen	Asarum	14
Nya Tingsrydsvägen	Asarum	13
Rosendalsvägen	Asarum	12
Gårdsjögatan	Askersund	15
Hagavägen	Askersund	10
Närlundavägen	Askersund	10
Borgmästargatan	Askersund	7
Drottning Kristinas väg	Askersund	7
Kvarnhagsvägen	Askersund	7
Storgatan	Askersund	7
Bergslagsvägen	Askersund	6
Floragatan	Askersund	6
Gullregnsvägen	Askersund	6
Gamla Särövägen	Askim	33
Hults sörgårdsväg	Askim	25
Skalldalsvägen	Askim	19
Trollåsvägen	Askim	19
Askims kyrkväg	Askim	16
Säröleden	Askim	16
Hovås länsmansväg	Askim	15
Kläppestigen	Askim	12
Sjövägen	Askim	12
Gärdesvägen	Askim	11
Eslövsvägen	Asmundtorp	20
Vadensjövägen	Asmundtorp	9
Munkebäcksvägen	Asmundtorp	8
Råga Hörstadsvägen	Asmundtorp	7
Nissebovägen	Asmundtorp	6
Norrenäsvägen	Asmundtorp	6
Österfäladsvägen	Asmundtorp	6
Fasanvägen	Asmundtorp	5
Hansavägen	Asmundtorp	5
Jägmästarvägen	Asmundtorp	5
Furuvägen	Asperöd	13
Ellestadsvägen	Asperöd	12
Navrödsvägen	Asperöd	10
Granvägen	Asperöd	9
Kvegsänkesvägen	Asperöd	9
Björkvägen	Asperöd	8
Kronhjortsvägen	Asperöd	8
Tockarpsvägen	Asperöd	8
Raftarpsvägen	Asperöd	7
Storvägen	Asperöd	7
Liesvägen	Aspås	8
Nolbacksvägen	Aspås	7
Övre Gräftevägen	Aspås	7
Kvarnvägen	Aspås	6
Brattåkern	Aspås	5
Tomsetvägen	Aspås	5
Gärdevägen	Aspås	4
Nygårdsvägen	Aspås	4
Asplienvägen	Aspås	3
Nedre Gräftevägen	Aspås	2
Älvbrovägen	Avesta	36
Myrgatan	Avesta	19
Prästgatan	Avesta	18
Bergslagsvägen	Avesta	15
Skogsbovägen	Avesta	14
Dalavägen	Avesta	13
Vågmästaregatan	Avesta	13
Axel Johnsons väg	Avesta	12
Krylbovägen	Avesta	12
Borgers väg	Avesta	11
Orrnäsvägen	Axmar	38
Gåsholmavägen	Axmar	37
Axmarstig	Axmar	36
Hamnvägen	Axmar	29
Gamla Gåsholmavägen	Axmar	23
Fallsmursvägen	Axmar	17
Uttervikarna	Axmar	13
Finnharsvägen	Axmar	12
Harivägen	Axmar	12
Skållharsvägen	Axmar	12
Skaravägen	Axvall	13
Ringvägen	Axvall	11
Olofstorpsvägen	Axvall	9
Tranumsvägen	Axvall	8
Wilsons väg	Axvall	6
Hedvägen	Axvall	4
Husargatan	Axvall	4
Långgatan	Axvall	4
Dammgatan	Axvall	3
Mejerigatan	Axvall	3
Hobyvägen	Backaryd	22
Värendsvägen	Backaryd	14
Norra Långgölsövägen	Backaryd	9
Gamla Backarydsvägen	Backaryd	8
Lindetvägen	Backaryd	7
Värmansmålavägen	Backaryd	7
Östra Hultsvägen	Backaryd	7
Möljerydsvägen	Backaryd	6
Årsjömålavägen	Backaryd	6
Hejanvägen	Backaryd	5
Stationsvägen	Backe	22
Gamla vägen	Backe	12
Kyrkvägen	Backe	12
Lasarettsvägen	Backe	6
Läkarvägen	Backe	6
Johannesbergsvägen	Backe	5
Stenhammarsvägen	Backe	5
Mariebergsvägen	Backe	3
Strandvägen	Backe	3
Tallvägen	Backe	3
Sköndalsvägen	Bagarmossen	63
Bagarfruvägen	Bagarmossen	45
Orhemsvägen	Bagarmossen	43
Thorsten Levenstams Väg	Bagarmossen	36
Mickel bagares gränd	Bagarmossen	24
Perstorpsvägen	Bagarmossen	20
Finbagarvägen	Bagarmossen	18
Gråhundsvägen	Bagarmossen	16
Karin Larssons Väg	Bagarmossen	15
Affärsvägen	Bagarmossen	14
Martin P Nilssons väg	Ballingslöv	20
Vångagårdsvägen	Ballingslöv	5
Albins väg	Ballingslöv	4
Almaåvägen	Ballingslöv	4
Ballingslövsvägen	Ballingslöv	3
Solhällsgatan	Ballingslöv	3
Havrabjärsgatan	Ballingslöv	2
Högastensgatan	Ballingslöv	2
Mossvägen	Ballingslöv	2
Pålsgatan	Ballingslöv	2
Nybohovsbacken	Bandhagen	56
Östbergabackarna	Bandhagen	52
Södertäljevägen	Bandhagen	50
Storsjövägen	Bandhagen	38
Svärdlångsvägen	Bandhagen	38
Nybohovsgränd	Bandhagen	28
Årstaängsvägen	Bandhagen	27
Sjöviksbacken	Bandhagen	26
Tellusborgsvägen	Bandhagen	26
Liljeholmsvägen	Bandhagen	22
Björnebergsvägen	Bankeryd	21
Torpleden	Bankeryd	18
Villavägen	Bankeryd	15
Domsandsstigen	Bankeryd	13
Ulfsbostigen	Bankeryd	13
Ekeforsvägen	Bankeryd	11
Kortebovägen	Bankeryd	11
Sjöåkravägen	Bankeryd	11
Trånghallavägen	Bankeryd	11
Vättergatan	Bankeryd	11
Särslövsvägen	Bara	20
Malmövägen	Bara	16
Vinbärsgatan	Bara	16
Möllebergavägen	Bara	13
Banvägen	Bara	12
Joachim Becks gata	Bara	11
Kärrvägen	Bara	8
Bjärshögsvägen	Bara	7
Finnebjersgatan	Bara	7
Virängsvägen	Bara	7
Hakens väg	Barnens Ö	33
Sennebyvägen	Barnens Ö	32
Ytterskär	Barnens Ö	27
Väddö Backaslingan	Barnens Ö	23
Salnövägen	Barnens Ö	21
Messmyrsvägen	Barnens Ö	19
Bylehamnsvägen	Barnens Ö	18
Gåsviksslingan	Barnens Ö	18
Assöslingan	Barnens Ö	15
Gamla Grisslehamnsvägen	Barnens Ö	15
Blåeldvägen	Barsebäck	17
Lundåkravägen	Barsebäck	17
Pinhättevägen	Barsebäck	17
Litorinavägen	Barsebäck	12
Kraftverksvägen	Barsebäck	11
Skepparevägen	Barsebäck	10
Kumlevägen	Barsebäck	9
Kustvägen	Barsebäck	9
Stubbviksvägen	Barsebäck	8
Byastugsvägen	Barsebäck	7
Gubbträskvägen	Bastuträsk	16
Norrsundsvägen	Bastuträsk	16
Hemnäsvägen	Bastuträsk	14
Strandvägen	Bastuträsk	9
Byavägen	Bastuträsk	8
Domänvägen	Bastuträsk	7
Tallvägen	Bastuträsk	6
Västerviksvägen	Bastuträsk	6
Cafévägen	Bastuträsk	5
Skolvägen	Bastuträsk	5
Nötesjövägen	Beddingestrand	19
Fältvägen	Beddingestrand	10
Södra Sturupsvägen	Beddingestrand	10
Bramstorpsvägen	Beddingestrand	9
Killerödsvägen	Beddingestrand	7
Nötesjö bygata	Beddingestrand	7
Lyngsjövägen	Beddingestrand	5
Rampvägen	Beddingestrand	5
Västerlångvägen	Beddingestrand	5
Bremadsvägen	Beddingestrand	4
Karlsbergsvägen	Bengtsfors	13
Kinadalsvägen	Bengtsfors	12
Storgatan	Bengtsfors	11
Djupviksvägen	Bengtsfors	10
Franserudsvägen	Bengtsfors	9
Sandgärdesgatan	Bengtsfors	9
Strandvägen	Bengtsfors	9
Södra vägen	Bengtsfors	9
Blekerigatan	Bengtsfors	8
Centrumvägen	Bengtsfors	8
Västergatan	Berga	11
Stora vägen	Berga	10
Norra Storgatan	Berga	9
Mellbyvägen	Berga	8
Petters väg	Berga	8
Järnvägsgatan	Berga	7
Majsvägen	Berga	6
Södra vägen	Berga	6
Prästgatan	Berga	5
Åsevägen	Berga	5
Viksjövägen	Bergby	27
Heden	Bergby	20
Högbacksvägen	Bergby	15
Hamrångevägen	Bergby	11
Sjökallavägen	Bergby	10
Veda	Bergby	9
Fäbovägen	Bergby	8
Virkesvägen	Bergby	8
Höjdvägen	Bergby	7
Norra Hagstavägen	Bergby	7
Lundevägen	Bergeforsen	21
Sandarnavägen	Bergeforsen	11
Blomkålsgatan	Bergeforsen	10
Flottargatan	Bergeforsen	9
Stavreviksvägen	Bergeforsen	9
Triangelvägen	Bergeforsen	7
Backvägen	Bergeforsen	5
Borrgatan	Bergeforsen	5
Industrigatan	Bergeforsen	5
Långvägen	Bergeforsen	5
Kungskullavägen	Berghem	14
Varbergsvägen	Berghem	14
Daltorpsvägen	Berghem	9
Bäckängsvägen	Berghem	6
Solsätersvägen	Berghem	6
Tingsslättsvägen	Berghem	6
Solhöjdsvägen	Berghem	5
Ljungstenavägen	Berghem	4
Åkrabäcksvägen	Berghem	3
Dalavägen	Berghem	2
Kyrkogatan	Bergkvara	14
Bryggaregatan	Bergkvara	12
Hamngatan	Bergkvara	8
Storgatan	Bergkvara	8
Pråmgatan	Bergkvara	6
Abborregatan	Bergkvara	5
Dalskärsvägen	Bergkvara	5
Norra Ragnabovägen	Bergkvara	5
Siggatorpsvägen	Bergkvara	5
Skogsvägen	Bergkvara	5
Södra vägen	Bergsjö	25
Bållebergsvägen	Bergsjö	22
Bergevägen	Bergsjö	19
Lönnbergsvägen	Bergsjö	10
Skolvägen	Bergsjö	10
Stationsvägen	Bergsjö	8
Prästvägen	Bergsjö	7
Hundskinnsvägen	Bergsjö	6
Schönströms väg	Bergsjö	6
Örnjantesvägen	Bergsjö	6
Skogvägen	Bergvik	18
Vannsättervägen	Bergvik	18
Mohedsvägen	Bergvik	14
Fallvägen	Bergvik	13
Nedre bölegatan	Bergvik	13
Älvstigen	Bergvik	12
Lynäsvägen	Bergvik	10
Norrhällsvägen	Bergvik	9
Åsenvägen	Bergvik	9
Björkhagsvägen	Bergvik	8
Runebyvägen	Bettna	7
Skenalavägen	Bettna	5
Asphagsvägen	Bettna	4
Dalbyvägen	Bettna	4
Kullavägen	Bettna	4
Kungsbackavägen	Bettna	4
Oppundavägen	Bettna	4
Strömsborgsvägen	Bettna	4
Sandavägen	Bettna	3
Enrisvägen	Bettna	2
Södra Särövägen	Billdal	52
Letsegårdsvägen	Billdal	32
Tråkärrsslättvägen	Billdal	28
Billdals hagenväg	Billdal	27
Svindalsvägen	Billdal	25
Kopparåsvägen	Billdal	24
Billdals aspväg	Billdal	23
Lesikavägen	Billdal	22
Billdals lövskogsväg	Billdal	21
Billdals storegårdsväg	Billdal	20
Värmövägen	Billeberga	7
Billeshögsvägen	Billeberga	5
Blomvägen	Billeberga	5
Brovallavägen	Billeberga	5
Hedvägen	Billeberga	5
Södervägen	Billeberga	5
Billebergavägen	Billeberga	4
Idrottsvägen	Billeberga	4
Solhällsvägen	Billeberga	4
Svalövsvägen	Billeberga	4
Nya vägen	Billesholm	15
Torekullsvägen	Billesholm	12
Storgatan	Billesholm	11
Böketoftavägen	Billesholm	9
Järnvägsgatan	Billesholm	9
Ljungsgårdsvägen	Billesholm	9
Sonnadammsgatan	Billesholm	9
Tjutebrovägen	Billesholm	9
Östra vägen	Billesholm	9
Brantastigsvägen	Billesholm	8
Aggarp	Billinge	9
Måns Andreas väg	Billinge	7
Stationsvägen	Billinge	5
Vattenverksvägen	Billinge	4
Aspakullavägen	Billinge	3
Fageråsvägen	Billinge	3
Skogsvägen	Billinge	3
Fädriften	Billinge	2
Kyrkvägen	Billinge	2
Rönneådalsvägen	Billinge	2
Stuputvägen	Billingsfors	13
Dalhemsvägen	Billingsfors	12
Baståsvägen	Billingsfors	9
Strandvägen	Billingsfors	9
Högsvägen	Billingsfors	8
Lövåsvägen	Billingsfors	8
Sågverksvägen	Billingsfors	8
Övre Terrassgatan	Billingsfors	8
Tallåsvägen	Billingsfors	7
Nedre terrassgatan	Billingsfors	6
Sundsvallsvägen	Bispgården	17
Skogsvägen	Bispgården	11
Slåttmyrvägen	Bispgården	11
Hannåsvägen	Bispgården	9
Järåvägen	Bispgården	8
Villavägen	Bispgården	8
Annedalsvägen	Bispgården	5
Industrivägen	Bispgården	5
Nipvägen	Bispgården	5
Alléstigen	Bispgården	4
Kyrkogatan	Bjurholm	12
Sjömyrvägen	Bjurholm	9
Vännäsvägen	Bjurholm	9
Örträskvägen	Bjurholm	7
Nyåsvägen	Bjurholm	5
Storgatan	Bjurholm	5
Brännavägen	Bjurholm	4
Hantverkargatan	Bjurholm	4
Klockarvägen	Bjurholm	4
Lillvägen	Bjurholm	4
Skovägen	Bjursås	18
Proselins väg	Bjursås	16
Klockarns hage	Bjursås	15
Gästgivarvägen	Bjursås	13
Bjursåsvägen	Bjursås	11
Skarpsvedsvägen	Bjursås	10
Björsvedsvägen	Bjursås	8
Holsgatan	Bjursås	8
Borisa	Bjursås	7
Backgårdsvägen	Bjursås	6
Norrdellsvägen	Bjuråker	20
Strömbackavägen	Bjuråker	12
Svågavägen	Bjuråker	10
Ehingervägen	Bjuråker	5
Hamnvägen	Bjuråker	5
Skolvägen	Bjuråker	5
Syltavägen	Bjuråker	5
Söderblomsvägen	Bjuråker	5
Klockarvägen	Bjuråker	4
Forslins väg	Bjuråker	3
Tjutebrovägen	Bjuv	27
Villagatan	Bjuv	14
Almgatan	Bjuv	10
Boställsgatan	Bjuv	10
Blåbärsgatan	Bjuv	9
Hedenvägen	Bjuv	9
Sjukhusvägen	Bjuv	9
Kvarngatan	Bjuv	8
Gruvgatan	Bjuv	7
Orkestergatan	Bjuv	7
Norra vägen	Bjärnum	20
Ringvägen	Bjärnum	15
Boställsgatan	Bjärnum	12
Nygatan	Bjärnum	12
Södra vägen	Bjärnum	12
Göingevägen	Bjärnum	10
Hågnarpsvägen	Bjärnum	9
Slättarödsvägen	Bjärnum	8
Kroppedammsgatan	Bjärnum	7
Piltavägen	Bjärnum	7
Västanvägen	Bjärred	30
Norra Västkustvägen	Bjärred	27
Fjelievägen	Bjärred	20
Leifs väg	Bjärred	19
Kamrersvägen	Bjärred	16
Svalvägen	Bjärred	16
Västervångsvägen	Bjärred	16
Morkullevägen	Bjärred	13
Järavallsvägen	Bjärred	12
Amiralsvägen	Bjärred	11
Nätragatan	Bjästa	23
Fageråsvägen	Bjästa	8
Rosenborgsvägen	Bjästa	8
Dirigentvägen	Bjästa	7
Gitarrvägen	Bjästa	6
Orgelvägen	Bjästa	6
Tjärnvägen	Bjästa	6
Kyrkvägen	Bjästa	5
Åmynnesvägen	Bjästa	5
Bygatan	Bjästa	4
Kullvägen	Björbo	18
Dalsängsvägen	Björbo	10
Storängsvägen	Björbo	9
Björbovägen	Björbo	8
Forsvägen	Björbo	8
Handbackvägen	Björbo	8
Holgattu	Björbo	8
Kullfallsvägen	Björbo	8
Kullsvedsvägen	Björbo	8
Terminalvägen	Björbo	8
Varbergsvägen	Björketorp	10
Österbyvägen	Björketorp	10
Byvägen	Björketorp	4
Marknadsvägen	Björketorp	4
Per Anders väg	Björketorp	4
Holmåkravägen	Björketorp	3
Lundavägen	Björketorp	3
Salemvägen	Björketorp	3
Staxeredsvägen	Björketorp	3
Björkängsvägen	Björketorp	2
Träskvägen	Björkliden	10
Lapportsvägen	Björkliden	9
Vetenskapens väg	Björkliden	4
Kalle Jons väg	Björkliden	2
Karvens väg	Björkliden	2
Syster Syrenas väg	Björkliden	1
Ramsjövägen	Björklinge	49
Puckvägen	Björklinge	10
Ramsjö backe	Björklinge	10
Vendelvägen	Björklinge	10
Bror Hjorths väg	Björklinge	8
Diskusvägen	Björklinge	8
Norra Långåsvägen	Björklinge	8
